Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File	Factor Value[Batch]	Term Source REF	Term Accession Number	Factor Value[Primary_Group]	Term Source REF	Term Accession Number	Factor Value[Media]	Term Source REF	Term Accession Number
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000490	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												02-Mv-H-A.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Microcoleus			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000491	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												04-CTRL-H.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Control media (no cells) _ BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000492	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												06-Mv-H-B.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Microcoleus			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000493	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												08-CTRL-H.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Control media (no cells) _ BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000494	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												10-Mv-H-C.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Microcoleus			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000495	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												12-CTRL-H.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Control media (no cells) _ BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000496	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												14-Mv-Mv-A.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Microcoleus			BG-11 media supplemented with a metabolite extract of Microcoleus 		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000497	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												16-CTRL-Mv.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Control media (no cells) _ BG-11 media supplemented with a metabolite extract of Microcoleus 			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000498	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												18-Mv-Mv-B.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Microcoleus			BG-11 media supplemented with a metabolite extract of Microcoleus 		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000499	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												20-CTRL-Mv.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Control media (no cells) _ BG-11 media supplemented with a metabolite extract of Microcoleus 			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000500	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												22-Mv-Mv-C.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Microcoleus			BG-11 media supplemented with a metabolite extract of Microcoleus 		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000501	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												24-CTRL-Mv.d				Metabolite identification		m_metabolites_detected.txt	130830-CRCR-Mv-fps			Control media (no cells) _ BG-11 media supplemented with a metabolite extract of Microcoleus 			NA		
