database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
1					43.81194641			1	43.81194641											
2	C9H20N2O2				33.45883707			1	33.45883707											
3				IS2	216.1347	Internal standard (AlaLys)		-1	35.40384007											
4	C11H23N3O2				30.6524654			1	30.6524654											
5					726.1732			-1	28.65584217											
6	C8H17NO2			Methacholine	26.40823155			1	26.40823155											
7	C7H15NO2				25.4970163	MS/MS different from acetylcholine or carboxypropyltrimethylammonium or dimethylvaline or N-methylisoleucine		1	25.4970163											
8					30.07929212			1	30.07929212											
9	C10H20N4O4				27.79841822			1	27.79841822											
10					28.02601466			1	28.02601466											
11					28.07258547			1	28.07258547											
12					25.82708231			1	25.82708231											
13					27.05370664			1	27.05370664											
14	C9H18N2O4				24.20965406			1	24.20965406											
15	C11H22N2O3				24.04633751	has multiple lysine fragments in positive mode MS/MS		1	24.04633751											
16	C10H20N2O3				24.21213467			1	24.21213467											
17				7Hex+C7H16O7	1345.4410			-1	24.06371245											
18				Histidine	24.71878615			1	24.71878615											
19				Glycerophosphocholine	22.95167974			1	22.95167974											
20				6Hex+C7H16O7	1183.4100			-1	23.76283152											
21				5Hex+C7H16O7	1021.3490			-1	23.36231845											
22				Hexahexose (6Hex)	23.67031682			1	23.67031682											
23					25.22644817			1	25.22644817											
24					24.80753982			1	24.80753982											
25				AspArg	24.62143636			1	24.62143636											
26				9Hex+C7H16O7	24.62257385			1	24.62257385											
27					24.43387848			1	24.43387848											
28					23.19120672			1	23.19120672											
29				Pentahexose (5Hex)	23.19214938	two peaks		1	23.19214938											
30					23.84261705			1	23.84261705											
31	C5H8N2O2				21.74597379			1	21.74597379											
32				Trihexose	503.1597			-1	21.97257941											
33	C6H13N3O4				21.99409763			1	21.99409763											
34				GlnGlnGln	21.98245464	Good match for positive mode MS/MS to Metlin ID (GlnGlnGln)		1	21.98245464											
35	C11H21N3O3				23.11940316			1	23.11940316											
36	C6H14N2O3S				23.12903379	buffer related? Common fragments with HEPES in positive mode MS/MS		1	23.12903379											
37				Histidine betaine	23.26636769			1	23.26636769											
38					24.64748605			1	24.64748605											
39				8Hex+C7H16O7	24.37711543			1	24.37711543											
40					23.18243916			1	23.18243916											
41					23.90044788			1	23.90044788											
42				4Hex+C7H16O7	859.2959			-1	22.92513649											
43					23.20098293			1	23.20098293											
44					22.62515425			1	22.62515425											
45					22.82712493			1	22.82712493											
